pl_name,hostname,gaia_dr3_id,ra,dec,fuvmag,e_fuvmag,nuvmag,e_nuvmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,vmag,e_vmag,bmag,e_bmag,gprimemag,e_gprimemag,rprimemag,e_rprimemag,iprimemag,e_iprimemag,gaiaGmag,e_gaiaGmag,gaiaBPmag,e_gaiaBPmag,gaiaRPmag,e_gaiaRPmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag
LHS 1140 c,LHS 1140,2371032916186181760,11.248632,-15.2741085,,,,,,,,,,,,,,,,,,,,,,,,,12.65393588235,0.0247894944694463,14.41449427734,0.0378529897705444,11.3835103332,0.0240089548757372,18.3672008514404,0.0083389999344945,17.1145000457764,0.0032069999724626,15.9869003295898,0.0044309999793767,15.474100112915,0.0035059999208897,15.2137002944946,0.0046859998255968,9.612,0.023,9.092,0.026,8.821,0.024,,,,,,,,
LHS 1140 b,LHS 1140,2371032916186181760,11.248632,-15.2741085,,,,,,,,,,,,,,,,,,,,,,,,,12.65393588235,0.0247894944694463,14.41449427734,0.0378529897705444,11.3835103332,0.0240089548757372,18.3672008514404,0.0083389999344945,17.1145000457764,0.0032069999724626,15.9869003295898,0.0044309999793767,15.474100112915,0.0035059999208897,15.2137002944946,0.0046859998255968,9.612,0.023,9.092,0.026,8.821,0.024,,,,,,,,
K2-206 b,K2-206,2549096011101118080,11.2564264,0.5931866,,,20.2807,0.0952,16.72,0.0142915,13.6979,0.00252886,12.8286,0.00105757,12.5797,0.00209702,13.3594,0.0101169,13.1,0.047,13.957,0.042,13.489,0.032,12.782,0.047,12.536,0.033,12.81484235917,0.0150763002142136,13.27733866238,0.0244998887640081,12.19539335845,0.0171866433894183,13.1820001602173,,12.6520004272461,,12.4870004653931,,12.4300003051758,,12.4495000839233,0.0061119999736547,11.439,0.026,10.991,0.027,10.918,0.021,10.845,0.022,10.899,0.021,11.021,0.232,8.674,
K2-217 b,K2-217,2556248536102683008,11.2983678,6.4815879,,,17.2665,0.0306,14.5392,0.00404668,12.9298,0.00165806,12.1878,0.00149265,11.9851,0.00157281,12.7755,0.00473305,12.187,0.031,12.813,0.032,12.451,0.036,12.011,0.031,11.901,0.015,12.0182768642,0.0153131858143263,12.33718460205,0.0216750066774494,11.53446930862,0.0198827233901278,,,14.3607997894287,0.0011139999842271,13.0243997573853,0.0334840007126331,,,,,11.009,0.022,10.747,0.03,10.679,0.02,10.641,0.023,10.675,0.021,10.754,0.131,8.015,
K2-216 b,K2-216,2556231154370582400,11.4802354,6.3470302,,,20.7992,0.1398,,,,,,,,,,,12.476,0.052,13.563,0.024,13.015,0.033,12.011,0.05,11.691,0.01,12.04856965974,0.0153818404140723,12.65824944986,0.024463424159638,11.30569132551,0.0196527167661754,,,,,,,,,,,10.394,0.023,9.856,0.032,9.721,0.018,9.65,0.021,9.744,0.019,9.731,0.083,7.809,
K2-207 b,K2-207,2549087623029238400,11.6996481,0.6406182,,,19.0525,0.0882,15.6392,0.00647743,15.7441,0.0140705,13.0255,0.00140447,12.9076,0.00259537,13.6117,0.00716225,13.166,0.052,13.906,0.043,13.486,0.029,12.951,0.054,12.75,0.019,12.95528079068,0.0154952592156911,13.334864594908,0.026134827256095,12.41518935843,0.0216666909570056,13.3920001983643,,12.9680004119873,,12.7950000762939,,12.7220001220703,,12.7012996673584,0.0048159998841583,11.78,0.022,11.456,0.023,11.383,0.02,11.338,0.022,11.397,0.023,11.214,0.205,8.384,
HD 5278 b,HD 5278,4617759514501503616,12.5467785,-83.7437671,19.0034,0.082,12.7197,0.0022,,,,,,,,,,,,,,,,,,,,,7.815935365,0.0154296293305628,8.074357517,0.0272810132095192,7.388968095,0.0230195996510189,,,,,,,,,,,6.949,0.027,6.673,0.031,6.605,0.027,6.553,0.069,6.548,0.022,6.575,0.015,6.511,0.048
K2-385 b,K2-385,2552976943549668352,12.6140752,5.8712567,,,22.9481,0.4625,17.1057,0.0081053,15.0978,0.00333611,14.2801,0.00346211,13.9889,0.00379382,13.847,0.00417045,14.645,0.101,15.575,0.037,15.088,0.014,14.337,0.125,14.008,0.066,14.323550065356,0.0136478114554534,14.84210333239,0.0337569861798736,13.65009833822,0.0273613675256907,14.9795999526978,0.00467099994421,14.2981004714966,0.0033060000278055,14.0317001342773,0.0030030000489205,13.9010000228882,0.002600000007078,13.8093996047974,0.0046810000203549,12.816,0.024,12.276,0.027,12.237,0.027,12.178,0.023,12.23,0.024,11.551,0.215,8.794,
K2-220 b,K2-220,2581918597853527424,12.7700071,9.5167694,,,17.8053,0.0313,14.8923,0.00682686,15.0065,0.00937845,14.5512,0.00988415,11.511,0.00105959,13.86,0.0222812,11.912,0.022,12.611,0.048,12.219,0.056,11.725,0.035,11.575,0.05,11.7143305257,0.0184747716548848,12.08351398313,0.0221919147326678,11.17969923263,0.0181879017883531,12.1723003387451,0.0010000000474974,11.4828996658325,0.0229010004550219,11.6141004562378,0.0227390006184578,13.5986003875732,0.0079140001907944,11.5593004226685,0.0010000000474974,10.582,0.027,10.23,0.022,10.161,0.021,10.118,0.022,10.158,0.02,10.125,0.066,9.091,
K2-203 b,K2-203,2535901287452166400,12.7736909,-1.1958844,21.56,0.3891,19.2443,0.0895,15.6852,0.00745004,13.0329,0.00125866,12.149,0.00108162,11.9231,0.000817662,12.0061,0.00302307,,,,,,,,,,,12.11319291,0.0171438703683568,12.58462169171,0.0267098070779375,11.4818455917,0.0218308254111293,,,,,,,,,,,10.773,0.024,10.281,0.026,10.206,0.023,10.145,0.023,10.217,0.02,10.1,0.083,8.659,
K2-218 b,K2-218,2556472119215785728,12.809613,6.8464327,,,18.7339,0.0497,14.9049,0.00392769,13.5754,0.00286935,12.7844,0.00350877,12.6577,0.00365514,12.8027,0.00379098,12.863,0.043,13.581,0.048,13.185,0.031,12.645,0.035,12.546,0.085,12.70153560315,0.0162183817981309,13.06440954365,0.0226611672412058,12.17519731682,0.018377167737495,13.1540002822876,,12.7480001449585,,12.5830001831055,,12.5050001144409,,12.4654998779297,0.00609300006181,11.563,0.026,11.267,0.026,11.206,0.024,11.088,0.022,11.14,0.02,11.063,0.145,8.923,
